text,emotion
Nothing about this group project is going smoothly honestly,Frustrated
I've tried this problem five times and still can't solve it again,Frustrated
I have no idea what the professor just said during class,Confused
I have no idea what the professor just said during class,Confused
I wonder how this concept applies to real projects today,Curious
"I keep zoning out during this class, nothing is new seriously",Bored
I understand this topic really well now right now,Confident
I've got this assignment figured out completely seriously,Confident
"I can't focus on this presentation, it's dragging on again",Bored
"This is fascinating, what happens if we change this variable honestly",Curious
"This makes total sense, I can explain it to others right now",Confident
What would happen if we applied this to a different problem honestly,Curious
I solved the whole problem set without help again,Confident
Why does this keep failing no matter what I try again,Frustrated
I don't understand this formula at all again,Confused
I've tried this problem five times and still can't solve it during class,Frustrated
What would happen if we applied this to a different problem honestly,Curious
I keep getting a different answer than the textbook seriously,Confused
"I keep zoning out during this class, nothing is new today",Bored
"That's interesting, can we go deeper into this topic honestly",Curious
I know exactly how to approach this project during class,Confident
I wonder how this concept applies to real projects again,Curious
"Same review material again, I've heard this five times during class",Bored
I understand this topic really well now again,Confident
This assignment instructions are so unclear honestly,Confused
"This is fascinating, what happens if we change this variable again",Curious
"Can you explain that step again, it doesn't make sense today",Confused
I wonder how this concept applies to real projects honestly,Curious
"This makes total sense, I can explain it to others honestly",Confident
"This lecture is so slow, I already know all of this seriously",Bored
I keep getting a different answer than the textbook,Confused
What would happen if we applied this to a different problem again,Curious
"Same review material again, I've heard this five times again",Bored
I keep getting a different answer than the textbook today,Confused
I've tried this problem five times and still can't solve it during class,Frustrated
"Can you explain that step again, it doesn't make sense",Confused
"This lecture is so slow, I already know all of this seriously",Bored
This assignment instructions are so unclear during class,Confused
What would happen if we applied this to a different problem seriously,Curious
I'm sick of redoing this same section over and over,Frustrated
I've tried this problem five times and still can't solve it honestly,Frustrated
I'm just waiting for this class to end already again,Bored
I understand this topic really well now,Confident
This textbook chapter is putting me to sleep seriously,Bored
Nothing about this group project is going smoothly today,Frustrated
I've tried this problem five times and still can't solve it seriously,Frustrated
This professor's instructions never make sense honestly,Frustrated
I wonder how this concept applies to real projects right now,Curious
Nothing about this group project is going smoothly,Frustrated
This professor's instructions never make sense right now,Frustrated
This homework is repetitive and uninteresting right now,Bored
"Can you explain that step again, it doesn't make sense honestly",Confused
I'm just waiting for this class to end already again,Bored
"This makes total sense, I can explain it to others again",Confident
"This lecture is so slow, I already know all of this",Bored
I'm sick of redoing this same section over and over again,Frustrated
How does this relate to what we learned last week seriously,Curious
I solved the whole problem set without help right now,Confident
I don't understand this formula at all seriously,Confused
I have no idea what the professor just said during class,Confused
I've got this assignment figured out completely again,Confident
Nothing about this group project is going smoothly seriously,Frustrated
I know exactly how to approach this project during class,Confident
I'm sure I'll do well on this exam seriously,Confident
None of this is making sense to me right now seriously,Confused
"That's interesting, can we go deeper into this topic right now",Curious
Why does this keep failing no matter what I try during class,Frustrated
This homework is repetitive and uninteresting,Bored
"I'm so annoyed, the code keeps throwing the same error honestly",Frustrated
I wonder how this concept applies to real projects during class,Curious
I have no idea what the professor just said during class,Confused
I'm confident I answered all the quiz questions correctly today,Confident
This assignment instructions are so unclear honestly,Confused
I'm stuck on this problem and don't know where to start today,Confused
Nothing about this group project is going smoothly honestly,Frustrated
"Wait, why does this formula work like that seriously",Curious
I wonder how this concept applies to real projects,Curious
I solved the whole problem set without help during class,Confident
I'm sick of redoing this same section over and over honestly,Frustrated
I keep getting a different answer than the textbook honestly,Confused
This textbook chapter is putting me to sleep seriously,Bored
This professor's instructions never make sense today,Frustrated
I'm confident I answered all the quiz questions correctly honestly,Confident
I'm sick of redoing this same section over and over again,Frustrated
I'd like to explore this idea further after class,Curious
"Same review material again, I've heard this five times",Bored
I solved the whole problem set without help seriously,Confident
What would happen if we applied this to a different problem,Curious
"This makes total sense, I can explain it to others right now",Confident
Nothing about this group project is going smoothly during class,Frustrated
This textbook chapter is putting me to sleep,Bored
I want to know more about how this algorithm works during class,Curious
I have no idea what the professor just said seriously,Confused
I solved the whole problem set without help seriously,Confident
This textbook chapter is putting me to sleep today,Bored
I know exactly how to approach this project today,Confident
"This is fascinating, what happens if we change this variable during class",Curious
I'm stuck on this problem and don't know where to start honestly,Confused
I've got this assignment figured out completely,Confident
This homework is repetitive and uninteresting seriously,Bored
I'm just waiting for this class to end already honestly,Bored
"I can't focus on this presentation, it's dragging on again",Bored
"Wait, how did we get this answer, I'm lost during class",Confused
I've got this assignment figured out completely again,Confident
Nothing about this group project is going smoothly honestly,Frustrated
I have no idea what the professor just said today,Confused
"I'm so annoyed, the code keeps throwing the same error during class",Frustrated
I feel ready for the presentation tomorrow seriously,Confident
Why does this keep failing no matter what I try again,Frustrated
This assignment instructions are so unclear today,Confused
"Same review material again, I've heard this five times honestly",Bored
Nothing about this topic holds my attention today right now,Bored
I'm just waiting for this class to end already during class,Bored
Why does this keep failing no matter what I try today,Frustrated
I'd like to explore this idea further after class during class,Curious
I wonder how this concept applies to real projects right now,Curious
"That's interesting, can we go deeper into this topic today",Curious
I feel ready for the presentation tomorrow during class,Confident
I solved the whole problem set without help during class,Confident
Nothing about this group project is going smoothly,Frustrated
"This lecture is so slow, I already know all of this",Bored
"This is fascinating, what happens if we change this variable",Curious
This assignment is taking forever and nothing works honestly,Frustrated
I can't believe I have three assignments due tomorrow today,Frustrated
"I'm so annoyed, the code keeps throwing the same error today",Frustrated
Nothing about this group project is going smoothly right now,Frustrated
I keep getting a different answer than the textbook during class,Confused
"I'm so annoyed, the code keeps throwing the same error honestly",Frustrated
I'm sick of redoing this same section over and over honestly,Frustrated
"Wait, how did we get this answer, I'm lost honestly",Confused
"I'm so annoyed, the code keeps throwing the same error today",Frustrated
"Wait, why does this formula work like that",Curious
I'm stuck on this problem and don't know where to start during class,Confused
I understand this topic really well now today,Confident
"I can't focus on this presentation, it's dragging on again",Bored
I can't believe I have three assignments due tomorrow honestly,Frustrated
I have no idea what the professor just said again,Confused
I know exactly how to approach this project again,Confident
"I keep zoning out during this class, nothing is new today",Bored
"I can't focus on this presentation, it's dragging on right now",Bored
I'm just waiting for this class to end already again,Bored
This professor's instructions never make sense,Frustrated
"Wait, how did we get this answer, I'm lost",Confused
I'm sick of redoing this same section over and over right now,Frustrated
I feel ready for the presentation tomorrow honestly,Confident
I can't believe I have three assignments due tomorrow seriously,Frustrated
"I'm so annoyed, the code keeps throwing the same error during class",Frustrated
I've got this assignment figured out completely during class,Confident
This professor's instructions never make sense honestly,Frustrated
I'm confident I answered all the quiz questions correctly,Confident
I solved the whole problem set without help honestly,Confident
Nothing about this topic holds my attention today during class,Bored
This professor's instructions never make sense honestly,Frustrated
I can't believe I have three assignments due tomorrow,Frustrated
I'm sure I'll do well on this exam today,Confident
This assignment is taking forever and nothing works right now,Frustrated
"I'm so annoyed, the code keeps throwing the same error during class",Frustrated
I'm confident I answered all the quiz questions correctly,Confident
I have no idea what the professor just said again,Confused
I feel ready for the presentation tomorrow,Confident
I'm stuck on this problem and don't know where to start,Confused
How does this relate to what we learned last week honestly,Curious
"I keep zoning out during this class, nothing is new seriously",Bored
I'm sure I'll do well on this exam honestly,Confident
How does this relate to what we learned last week today,Curious
I'm sick of redoing this same section over and over today,Frustrated
This professor's instructions never make sense right now,Frustrated
I understand this topic really well now again,Confident
I'm sure I'll do well on this exam today,Confident
This homework is repetitive and uninteresting honestly,Bored
I've got this assignment figured out completely during class,Confident
This professor's instructions never make sense honestly,Frustrated
"Same review material again, I've heard this five times honestly",Bored
I keep getting a different answer than the textbook during class,Confused
I know exactly how to approach this project during class,Confident
Nothing about this topic holds my attention today today,Bored
Nothing about this group project is going smoothly seriously,Frustrated
I've tried this problem five times and still can't solve it today,Frustrated
I can't believe I have three assignments due tomorrow seriously,Frustrated
How does this relate to what we learned last week honestly,Curious
I'm stuck on this problem and don't know where to start during class,Confused
I don't understand this formula at all right now,Confused
"This lecture is so slow, I already know all of this during class",Bored
"This makes total sense, I can explain it to others right now",Confident
"This makes total sense, I can explain it to others today",Confident
I want to know more about how this algorithm works during class,Curious
"I can't focus on this presentation, it's dragging on",Bored
How does this relate to what we learned last week right now,Curious
I wonder how this concept applies to real projects again,Curious
I've got this assignment figured out completely during class,Confident
I've got this assignment figured out completely during class,Confident
Nothing about this group project is going smoothly during class,Frustrated
I'm sure I'll do well on this exam,Confident
Nothing about this group project is going smoothly seriously,Frustrated
"I'm so annoyed, the code keeps throwing the same error",Frustrated
This homework is repetitive and uninteresting honestly,Bored
I understand this topic really well now today,Confident
I want to know more about how this algorithm works today,Curious
What would happen if we applied this to a different problem seriously,Curious
I can't believe I have three assignments due tomorrow right now,Frustrated
How does this relate to what we learned last week right now,Curious
I don't understand this formula at all honestly,Confused
"That's interesting, can we go deeper into this topic",Curious
"I can't focus on this presentation, it's dragging on seriously",Bored
This professor's instructions never make sense today,Frustrated
I want to know more about how this algorithm works again,Curious
"Wait, how did we get this answer, I'm lost today",Confused
"Wait, how did we get this answer, I'm lost",Confused
This assignment is taking forever and nothing works honestly,Frustrated
I can't believe I have three assignments due tomorrow,Frustrated
I wonder how this concept applies to real projects during class,Curious
I want to know more about how this algorithm works during class,Curious
I have no idea what the professor just said,Confused
Nothing about this group project is going smoothly honestly,Frustrated
"I keep zoning out during this class, nothing is new during class",Bored
I'd like to explore this idea further after class during class,Curious
I've got this assignment figured out completely seriously,Confident
I want to know more about how this algorithm works seriously,Curious
I've tried this problem five times and still can't solve it again,Frustrated
I'm just waiting for this class to end already today,Bored
I wonder how this concept applies to real projects again,Curious
"Wait, why does this formula work like that seriously",Curious
I've got this assignment figured out completely during class,Confident
I solved the whole problem set without help during class,Confident
I feel ready for the presentation tomorrow seriously,Confident
I'd like to explore this idea further after class during class,Curious
"Wait, how did we get this answer, I'm lost during class",Confused
"Can you explain that step again, it doesn't make sense",Confused
"Wait, why does this formula work like that honestly",Curious
This assignment is taking forever and nothing works honestly,Frustrated
I'm just waiting for this class to end already seriously,Bored
"I keep zoning out during this class, nothing is new right now",Bored
I feel ready for the presentation tomorrow,Confident
"Can you explain that step again, it doesn't make sense seriously",Confused
I feel ready for the presentation tomorrow during class,Confident
This professor's instructions never make sense,Frustrated
I'd like to explore this idea further after class right now,Curious
I'm stuck on this problem and don't know where to start today,Confused
I'm sick of redoing this same section over and over,Frustrated
I feel ready for the presentation tomorrow during class,Confident
"That's interesting, can we go deeper into this topic honestly",Curious
Why does this keep failing no matter what I try seriously,Frustrated
"This lecture is so slow, I already know all of this again",Bored
"Same review material again, I've heard this five times during class",Bored
I keep getting a different answer than the textbook today,Confused
I've got this assignment figured out completely honestly,Confident
Nothing about this topic holds my attention today seriously,Bored
Nothing about this topic holds my attention today seriously,Bored
I'm confident I answered all the quiz questions correctly seriously,Confident
None of this is making sense to me right now,Confused
"This makes total sense, I can explain it to others honestly",Confident
I'm sick of redoing this same section over and over honestly,Frustrated
This textbook chapter is putting me to sleep again,Bored
"I can't focus on this presentation, it's dragging on right now",Bored
Why does this keep failing no matter what I try honestly,Frustrated
I'm stuck on this problem and don't know where to start during class,Confused
This homework is repetitive and uninteresting,Bored
This textbook chapter is putting me to sleep,Bored
How does this relate to what we learned last week during class,Curious
I'm sure I'll do well on this exam honestly,Confident
This assignment instructions are so unclear during class,Confused
I've got this assignment figured out completely right now,Confident
"This lecture is so slow, I already know all of this seriously",Bored
I'm sure I'll do well on this exam,Confident
"I'm so annoyed, the code keeps throwing the same error",Frustrated
I'd like to explore this idea further after class seriously,Curious
"Can you explain that step again, it doesn't make sense today",Confused
I've got this assignment figured out completely today,Confident
I know exactly how to approach this project,Confident
I can't believe I have three assignments due tomorrow seriously,Frustrated
Nothing about this topic holds my attention today today,Bored
"Wait, how did we get this answer, I'm lost today",Confused
I don't understand this formula at all honestly,Confused
I've got this assignment figured out completely today,Confident
I feel ready for the presentation tomorrow right now,Confident
I solved the whole problem set without help honestly,Confident
I don't understand this formula at all again,Confused
"That's interesting, can we go deeper into this topic",Curious
"Wait, how did we get this answer, I'm lost honestly",Confused
"I keep zoning out during this class, nothing is new today",Bored
I want to know more about how this algorithm works again,Curious
This assignment is taking forever and nothing works,Frustrated
None of this is making sense to me right now today,Confused
None of this is making sense to me right now during class,Confused
What would happen if we applied this to a different problem seriously,Curious
Why does this keep failing no matter what I try today,Frustrated
I have no idea what the professor just said right now,Confused
"Can you explain that step again, it doesn't make sense seriously",Confused
Why does this keep failing no matter what I try again,Frustrated
"I keep zoning out during this class, nothing is new seriously",Bored
This assignment instructions are so unclear today,Confused
I've tried this problem five times and still can't solve it seriously,Frustrated
I'm just waiting for this class to end already today,Bored
I'm just waiting for this class to end already seriously,Bored
"Same review material again, I've heard this five times",Bored
I keep getting a different answer than the textbook today,Confused
"That's interesting, can we go deeper into this topic during class",Curious
I keep getting a different answer than the textbook,Confused
I want to know more about how this algorithm works,Curious
"Wait, how did we get this answer, I'm lost during class",Confused
"This makes total sense, I can explain it to others today",Confident
"Same review material again, I've heard this five times today",Bored
"Can you explain that step again, it doesn't make sense right now",Confused
I solved the whole problem set without help honestly,Confident
This professor's instructions never make sense right now,Frustrated
"I can't focus on this presentation, it's dragging on seriously",Bored
I feel ready for the presentation tomorrow again,Confident
Nothing about this group project is going smoothly,Frustrated
What would happen if we applied this to a different problem,Curious
I don't understand this formula at all during class,Confused
I'd like to explore this idea further after class during class,Curious
I know exactly how to approach this project honestly,Confident
"Can you explain that step again, it doesn't make sense right now",Confused
Why does this keep failing no matter what I try today,Frustrated
I solved the whole problem set without help right now,Confident
"Wait, how did we get this answer, I'm lost honestly",Confused
"Wait, how did we get this answer, I'm lost during class",Confused
"That's interesting, can we go deeper into this topic today",Curious
I'm stuck on this problem and don't know where to start during class,Confused
"Same review material again, I've heard this five times today",Bored
This homework is repetitive and uninteresting again,Bored
This textbook chapter is putting me to sleep right now,Bored
"Wait, how did we get this answer, I'm lost",Confused
I'm confident I answered all the quiz questions correctly honestly,Confident
I'm sick of redoing this same section over and over honestly,Frustrated
"That's interesting, can we go deeper into this topic today",Curious
I'd like to explore this idea further after class again,Curious
"I'm so annoyed, the code keeps throwing the same error right now",Frustrated
I can't believe I have three assignments due tomorrow seriously,Frustrated
I can't believe I have three assignments due tomorrow during class,Frustrated
Why does this keep failing no matter what I try during class,Frustrated
"I'm so annoyed, the code keeps throwing the same error seriously",Frustrated
None of this is making sense to me right now honestly,Confused
I don't understand this formula at all right now,Confused
This assignment is taking forever and nothing works right now,Frustrated
"This lecture is so slow, I already know all of this seriously",Bored
I have no idea what the professor just said right now,Confused
I'm stuck on this problem and don't know where to start,Confused
"Wait, why does this formula work like that today",Curious
I wonder how this concept applies to real projects during class,Curious
"Same review material again, I've heard this five times during class",Bored
This professor's instructions never make sense honestly,Frustrated
I can't believe I have three assignments due tomorrow right now,Frustrated
I've got this assignment figured out completely,Confident
I know exactly how to approach this project during class,Confident
I feel ready for the presentation tomorrow honestly,Confident
"This makes total sense, I can explain it to others during class",Confident
Why does this keep failing no matter what I try honestly,Frustrated
"I'm so annoyed, the code keeps throwing the same error today",Frustrated
I feel ready for the presentation tomorrow right now,Confident
This assignment instructions are so unclear,Confused
I know exactly how to approach this project today,Confident
I solved the whole problem set without help during class,Confident
I feel ready for the presentation tomorrow,Confident
How does this relate to what we learned last week,Curious
I can't believe I have three assignments due tomorrow today,Frustrated
I'm stuck on this problem and don't know where to start honestly,Confused
I've got this assignment figured out completely again,Confident
I want to know more about how this algorithm works today,Curious
I've tried this problem five times and still can't solve it today,Frustrated
This assignment instructions are so unclear honestly,Confused
This textbook chapter is putting me to sleep honestly,Bored
How does this relate to what we learned last week honestly,Curious
"I can't focus on this presentation, it's dragging on right now",Bored
"This lecture is so slow, I already know all of this honestly",Bored
This assignment instructions are so unclear right now,Confused
This assignment instructions are so unclear during class,Confused
This homework is repetitive and uninteresting during class,Bored
This textbook chapter is putting me to sleep honestly,Bored
"This is fascinating, what happens if we change this variable",Curious
"I can't focus on this presentation, it's dragging on during class",Bored
I'm sure I'll do well on this exam today,Confident
I'm sick of redoing this same section over and over seriously,Frustrated
This textbook chapter is putting me to sleep today,Bored
I know exactly how to approach this project,Confident
Nothing about this topic holds my attention today honestly,Bored
"Same review material again, I've heard this five times seriously",Bored
I don't understand this formula at all during class,Confused
I want to know more about how this algorithm works again,Curious
This textbook chapter is putting me to sleep again,Bored
"This is fascinating, what happens if we change this variable honestly",Curious
I'm sure I'll do well on this exam during class,Confident
I'm just waiting for this class to end already honestly,Bored
This assignment is taking forever and nothing works honestly,Frustrated
I've got this assignment figured out completely right now,Confident
This textbook chapter is putting me to sleep honestly,Bored
Nothing about this topic holds my attention today again,Bored
I solved the whole problem set without help again,Confident
"I keep zoning out during this class, nothing is new again",Bored
Why does this keep failing no matter what I try during class,Frustrated
"That's interesting, can we go deeper into this topic during class",Curious
"Same review material again, I've heard this five times right now",Bored
I'm just waiting for this class to end already during class,Bored
"That's interesting, can we go deeper into this topic again",Curious
"This makes total sense, I can explain it to others honestly",Confident
I feel ready for the presentation tomorrow right now,Confident
"This is fascinating, what happens if we change this variable right now",Curious
This assignment instructions are so unclear today,Confused
I understand this topic really well now today,Confident
I'm just waiting for this class to end already again,Bored
"Same review material again, I've heard this five times honestly",Bored
I know exactly how to approach this project again,Confident
This homework is repetitive and uninteresting right now,Bored
This assignment is taking forever and nothing works seriously,Frustrated
This homework is repetitive and uninteresting honestly,Bored
This homework is repetitive and uninteresting during class,Bored
I've tried this problem five times and still can't solve it today,Frustrated
This textbook chapter is putting me to sleep again,Bored
"I'm so annoyed, the code keeps throwing the same error during class",Frustrated
How does this relate to what we learned last week honestly,Curious
This assignment is taking forever and nothing works honestly,Frustrated
What would happen if we applied this to a different problem today,Curious
"Wait, how did we get this answer, I'm lost today",Confused
I understand this topic really well now during class,Confident
I'm confident I answered all the quiz questions correctly,Confident
I'm sure I'll do well on this exam today,Confident
I understand this topic really well now,Confident
I'm stuck on this problem and don't know where to start honestly,Confused
I have no idea what the professor just said honestly,Confused
I'm sick of redoing this same section over and over seriously,Frustrated
I'm sick of redoing this same section over and over right now,Frustrated
"I keep zoning out during this class, nothing is new again",Bored
"This makes total sense, I can explain it to others seriously",Confident
Nothing about this topic holds my attention today,Bored
I've got this assignment figured out completely during class,Confident
I don't understand this formula at all,Confused
"Can you explain that step again, it doesn't make sense right now",Confused
I keep getting a different answer than the textbook today,Confused
"Wait, how did we get this answer, I'm lost seriously",Confused
This assignment is taking forever and nothing works during class,Frustrated
"I can't focus on this presentation, it's dragging on honestly",Bored
"That's interesting, can we go deeper into this topic again",Curious
I wonder how this concept applies to real projects honestly,Curious
"Wait, how did we get this answer, I'm lost right now",Confused
"That's interesting, can we go deeper into this topic honestly",Curious
I'm sick of redoing this same section over and over honestly,Frustrated
"This lecture is so slow, I already know all of this during class",Bored
Why does this keep failing no matter what I try during class,Frustrated
This assignment is taking forever and nothing works right now,Frustrated
How does this relate to what we learned last week right now,Curious
"Can you explain that step again, it doesn't make sense again",Confused
I want to know more about how this algorithm works during class,Curious
This assignment instructions are so unclear,Confused
I'm sick of redoing this same section over and over today,Frustrated
I'm sure I'll do well on this exam right now,Confident
I solved the whole problem set without help again,Confident
I feel ready for the presentation tomorrow today,Confident
"Wait, how did we get this answer, I'm lost seriously",Confused
I've got this assignment figured out completely honestly,Confident
I keep getting a different answer than the textbook today,Confused
"Same review material again, I've heard this five times today",Bored
I know exactly how to approach this project,Confident
This assignment instructions are so unclear today,Confused
This homework is repetitive and uninteresting honestly,Bored
"Wait, why does this formula work like that during class",Curious
"This is fascinating, what happens if we change this variable today",Curious
"This is fascinating, what happens if we change this variable today",Curious
I'm confident I answered all the quiz questions correctly seriously,Confident
"That's interesting, can we go deeper into this topic right now",Curious
How does this relate to what we learned last week again,Curious
This professor's instructions never make sense today,Frustrated
"This is fascinating, what happens if we change this variable seriously",Curious
"This lecture is so slow, I already know all of this honestly",Bored
"I can't focus on this presentation, it's dragging on today",Bored
"This is fascinating, what happens if we change this variable seriously",Curious
I know exactly how to approach this project during class,Confident
I solved the whole problem set without help seriously,Confident
I'm stuck on this problem and don't know where to start during class,Confused
I keep getting a different answer than the textbook seriously,Confused
"This makes total sense, I can explain it to others during class",Confident
I'm just waiting for this class to end already honestly,Bored
How does this relate to what we learned last week again,Curious
This assignment instructions are so unclear again,Confused
I can't believe I have three assignments due tomorrow right now,Frustrated
I'm just waiting for this class to end already again,Bored
I want to know more about how this algorithm works today,Curious
I've got this assignment figured out completely right now,Confident
"This makes total sense, I can explain it to others again",Confident
